Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	CStart	CStop	NumExons
chr1	32229650	32714583	Khdrbs2	484933	+	NM_133235	32229762	32714386	9
chr1	32576407	32577844	Gm9839	1437	-	NM_001199956	32576407	32577844	1
chr1	32600390	32604138	Gm5415	3748	-	NM_001164286	32602235	32603672	1
chr1	33510652	33726639	Prim2	215987	-	NM_008922	33510930	33725856	14
chr1	33726668	33727557	1700001G17Rik	889	+	NR_033199	33727557	33727557	1
chr1	33776740	33799409	Rab23	22669	+	NM_008999	33780695	33796237	8
chr1	33802328	33814595	Bag2	12267	-	NM_145392	33803451	33814536	3
chr1	33818385	33871440	Zfp451	53055	-	NM_133817	33819007	33871203	15
chr1	33892743	33895759	Gm15455	3016	-	NM_001161816	33892966	33895525	1
chr1	33908896	33964612	Bend6	55716	-	NM_001310484	33910198	33935216	6
chr1	33965069	34365507	Dst	400438	+	NM_001276764	33965116	34364437	103
chr1	34174203	34174276	Mir6896	73	+	NR_105861	34174276	34174276	1
chr1	34489965	34490044	Mir5103	79	-	NR_039562	34490044	34490044	1
chr1	34493514	34496517	Ccdc115	3003	-	NM_027159	34494342	34496183	5
chr1	34496673	34502592	Imp4	5919	+	NM_178601	34496769	34501315	9
chr1	34516590	34530624	Ptpn18	14034	+	NM_011206	34516668	34530491	15
chr1	34555274	34559907	Prss39	4633	+	NM_009355	34555301	34559792	5
chr1	34592492	34601156	Cfc1	8664	+	NM_007685	34592747	34600982	6
chr1	34609176	34617788	Prss40	8612	-	NM_009356	34609339	34617749	5
chr1	34636537	34647789	Amer3	11252	+	NM_213727	34643526	34645869	2
chr1	34690379	34693055	AA619741	2676	-	NR_033627	34693055	34693055	1
chr1	34858566	34869599	Arhgef4	11033	+	NM_183019	34861812	34868674	10
chr1	34870062	34899895	Fam168b	29833	-	NM_001160235	34874858	34893647	8
chr1	34906803	34936430	Plekhb2	29627	+	NM_145516	34918725	34933892	8
chr1	36125244	36163291	Hs6st1	38047	+	NM_015818	36125502	36161066	2
chr1	36196872	36301147	Uggt1	104275	-	NM_198899	36201070	36300972	41
chr1	36201096	36201158	Mir6897	62	-	NR_105862	36201158	36201158	1
chr1	36321446	36330270	Neurl3	8824	-	NM_153408	36323204	36330210	4
chr1	36364577	36380874	Arid5a	16297	+	NM_001290726	36368722	36377048	8
chr1	36392574	36426026	Kansl3	33452	-	NM_001310513	36394475	36424828	22
chr1	36405526	36405603	Mir6898	77	-	NR_105863	36405603	36405603	1
chr1	36429135	36478955	Fer1l5	49820	+	NM_001277076	36429135	36478754	53
chr1	36480030	36502116	Lman2l	22086	-	NM_001310517	36481205	36502078	9
chr1	36528441	36565621	Cnnm4	37180	+	NM_033570	36528537	36563451	7
chr1	36568720	36585082	Cnnm3	16362	+	NM_001039551	36568755	36580928	9
chr1	36587037	36593401	Ankrd23	6364	-	NM_001310521	36588390	36589512	9
chr1	36595015	36604097	Ankrd39	9082	-	NM_026241	36596235	36604030	4
chr1	36605483	36615226	Sema4c	9743	-	NM_001126047	36606383	36612885	15
chr1	36619540	36740028	Fam178b	120488	-	NM_001126046	36619832	36717792	15
chr1	36748331	36750233	Cox5b	1902	+	NM_009942	36748431	36750154	4
chr1	36756046	36766770	Actr1b	10724	-	NM_146107	36756920	36766698	11
chr1	36771382	36814805	4933424G06Rik	43423	+	NR_040290	36814805	36814805	9
chr1	36818642	36839665	Zap70	21023	+	NM_009539	36827655	36839429	13
chr1	36849033	36996372	Tmem131	147339	-	NM_018872	36849765	36996190	41
chr1	37275122	37320229	Cnga3	45107	+	NM_001282010	37289089	37318941	8
chr1	37356682	37467585	Inpp4a	110903	+	NM_001290797	37414763	37465104	26
chr1	37473929	37486948	Coa5	13019	-	NM_198006	37477430	37486812	3
chr1	37487016	37495969	Unc50	8953	+	NM_026123	37488141	37495663	6
chr1	37496184	37597861	Mgat4a	101677	-	NM_173870	37501503	37592977	16
chr1	37542695	37545450	4930594C11Rik	2755	-	NR_024017	37545450	37545450	1
chr1	37668520	37776656	2010300C02Rik	108136	-	NM_028096	37669101	37701475	10
chr1	37811416	37921927	Tsga10	110511	-	NM_207228	37812341	37898080	20
chr1	37929050	37933143	Lipt1	4093	+	NM_001037918	37931709	37932831	2
chr1	37935734	37947256	Mitd1	11522	-	NM_026913	37936112	37947155	7
chr1	37947397	37955178	Mrpl30	7781	+	NM_027098	37950809	37955109	6
chr1	37962767	37973338	Lyg2	10571	-	NM_001033427	37964401	37972607	6
chr1	38003582	38014604	Lyg1	11022	-	NM_027111	38003729	38009627	6
chr1	38040711	38054053	Txndc9	13342	-	NM_172054	38044506	38052666	5
chr1	38054854	38112424	Eif5b	57570	+	NM_198303	38055134	38108558	24
chr1	38109630	38186507	Rev1	76877	-	NM_019570	38109931	38165302	23
chr1	38232835	38684089	Aff3	451254	-	NM_001290814	38236293	38683986	22
chr1	38851353	38878060	Lonrf2	26707	-	NM_001029878	38854873	38878060	11
chr1	38920717	38955005	Chst10	34288	-	NM_145142	38922342	38952803	7
chr1	38995993	39007121	Nms	11128	+	NM_001011684	38996130	39005512	10
chr1	39044658	39054081	Pdcl3	9423	+	NM_026850	39044688	39053128	6
chr1	39243740	39243837	Mir6349	97	-	NR_105767	39243837	39243837	1
chr1	39251116	39420085	Npas2	168969	+	NM_008719	39320188	39418852	21
chr1	39424695	39428755	Rpl31	4060	+	NM_001252219	39424993	39428178	5
chr1	39428341	39535592	Tbc1d8	107251	-	NM_018775	39429193	39535411	20
chr1	39592646	39603722	Cnot11	11076	+	NM_028043	39592683	39602111	7
chr1	39605591	39605685	Snord89	94	-	NR_028555	39605685	39605685	1
chr1	39608143	39634192	Rnf149	26049	-	NM_001033135	39609316	39634119	7
chr1	39675250	39708027	Creg2	32777	-	NM_170597	39679940	39707785	4
chr1	39722145	39777834	Rfx8	55689	-	NM_001145660	39722307	39777787	15
chr1	39860985	39862177	Gm3646	1192	-	NM_001177348	39861027	39862022	2
chr1	39899272	39904175	1700066B17Rik	4903	-	NR_040465	39904175	39904175	5
chr1	39957757	40083155	Map4k4	125398	+	NM_001252200	39958074	40081557	32
chr1	40133056	40142696	Gm16894	9640	-	NR_037980	40142696	40142696	4
chr1	40141612	40182070	Il1r2	40458	+	NM_010555	40159273	40182052	9
chr1	40281924	40373022	Il1r1	91098	+	NM_008362	40282148	40370238	11
chr1	40381471	40422316	Il1rl2	40845	+	NM_133193	40383339	40422290	11
chr1	40496473	40522259	Il1rl1	25786	+	NM_001025602	40497594	40519014	11
chr1	40522850	40557699	Il18r1	34849	+	NM_008365	40528601	40555535	11
chr1	40572206	40608550	Il18rap	36344	+	NM_010553	40581157	40605933	13
chr1	40637071	40687576	Slc9a4	50505	+	NM_177084	40637360	40686437	12
chr1	40738556	40825730	Slc9a2	87174	+	NM_001033289	40738718	40824844	12
chr1	40828884	40847502	Mfsd9	18618	-	NM_172499	40830597	40847464	6
chr1	40862445	40912112	Tmem182	49667	+	NM_001081198	40862600	40911861	5
chr1	41224404	41238097	4930448I06Rik	13693	-	NR_040475	41238097	41238097	3
chr1	42705044	42751670	Pantr1	46626	-	NR_027826	42751670	42751670	4
chr1	42753990	42757054	Pou3f3	3064	+	NM_008900	42753990	42755484	1
chr1	42757180	42760021	2900092D14Rik	2841	+	NR_027891	42760021	42760021	1
chr1	42763907	42770299	Pantr2	6392	-	NR_110495	42770299	42770299	4
chr1	42807556	42809731	Dalir	2175	+	NR_130904	42809731	42809731	1
chr1	42908077	42962528	Mrps9	54451	+	NM_023514	42908136	42962341	11
chr1	43009716	43092294	Gpr45	82578	+	NM_053107	43089043	43090165	2
chr1	43104113	43155467	Tgfbrap1	51354	-	NM_001013025	43106503	43132783	13
chr1	43155554	43172791	AI597479	17237	+	NM_133818	43155608	43170087	4
chr1	43179915	43253606	Fhl2	73691	-	NM_001289533	43180358	43210076	6
chr1	43502595	43627363	Nck2	124768	+	NM_010879	43590412	43626187	5
chr1	43787446	43799409	1500015O10Rik	11963	+	NM_024283	43787729	43799251	4
chr1	43807075	43884553	Uxs1	77478	-	NM_026430	43807075	43884553	15
chr1	43990838	44059845	Tpp2	69007	+	NM_009418	43990933	44059038	30
chr1	44066252	44076851	Mettl21c	10599	-	NM_001013799	44066483	44074112	5
chr1	44143461	44159233	Tex30	15772	-	NM_029368	44143734	44156707	8
chr1	44163390	44175618	Kdelc1	12228	-	NM_023645	44163931	44175344	10
chr1	44176812	44201616	Bivm	24804	+	NM_144558	44183236	44199987	10
chr1	44204588	44238105	Ercc5	33517	+	NM_011729	44204907	44237927	15
chr1	44260914	44275776	Mettl21e	14862	-	NM_207281	44263194	44275001	5
chr1	44608515	44853681	Gulp1	245166	+	NM_028450	44746032	44851866	11
chr1	44796519	44801794	4930521E06Rik	5275	-	NR_040602	44801794	44801794	3
chr1	45368382	45406551	Col3a1	38169	+	NM_009930	45368592	45405592	51
chr1	45431175	45560127	Col5a2	128952	-	NM_007737	45432928	45559759	54
chr1	45852345	45880458	Wdr75	28113	+	NM_028599	45852366	45880360	21
chr1	45964914	45982439	Slc40a1	17525	-	NM_016917	45966250	45982108	8
chr1	46077259	46087282	Stk-ps2	10023	-	NR_037691	46087282	46087282	4
chr1	46123582	46430395	Dnah7b	306813	+	NM_001160386	46123582	46430284	66
chr1	46482362	46864322	Dnah7c	381960	+	NM_001310335	46482457	46864210	65
chr1	46864388	46910354	Slc39a10	45966	-	NM_172653	46866797	46892985	10
chr1	47523864	47523969	Mir6350	105	-	NR_105768	47523969	47523969	1
chr1	50984366	51244114	Tmeff2	259748	+	NM_019790	50984791	51242325	10
chr1	51275229	51390623	9330175M20Rik	115394	-	NR_045151	51390623	51390623	5
chr1	51345969	51359804	Sdpr	13835	+	NM_138741	51346229	51358266	2
chr1	51526331	51535243	Nabp1	8912	-	NM_028696	51528088	51534759	6
chr1	51806601	51972822	Myo1b	166221	-	NM_001161817	51808016	51940061	31
chr1	52043991	52164033	Stat4	120042	+	NM_001308266	52068627	52163780	25
chr1	52176281	52218709	Stat1	42428	+	NM_001205314	52179437	52216141	25
chr1	52220293	52290076	Gls	69783	-	NM_001081081	52223001	52289836	18
chr1	52512692	52557292	Nab1	44600	-	NM_008667	52516061	52547580	8
chr1	52687548	52708763	Tmem194b	21215	+	NM_001142647	52687601	52706688	9
chr1	52713147	52784162	Mfsd6	71015	-	NM_133829	52715185	52766548	7
chr1	52846263	52874532	Inpp1	28269	-	NM_008384	52846511	52856332	6
chr1	52901881	52977830	Hibch	75949	+	NM_146108	52901953	52977222	14
chr1	52981970	53009684	1700019D03Rik	27714	-	NM_144953	52982090	52982411	2
chr1	53118483	53124923	Mstn	6440	+	NM_010834	53118609	53123475	3
chr1	53215420	53244461	1700019A02Rik	29041	-	NM_027070	53215590	53244445	9
chr1	53246030	53353872	Pms1	107842	-	NM_153556	53246177	53338916	13
chr1	53353938	53367089	Ormdl1	13151	+	NM_145517	53355822	53365806	4
chr1	53370467	53383186	Osgepl1	12719	+	NR_104361	53383186	53383186	9
chr1	53401460	53409596	Asnsd1	8136	-	NM_001290984	53401573	53405310	6
chr1	53453845	53763628	Dnah7a	309783	-	NM_001252070	53453950	53763536	66
chr1	53812355	53842059	Stk17b	29704	-	NM_133810	53814331	53833482	8
chr1	53863717	54251878	Hecw2	388161	-	NM_001001883	53870065	54097336	29
chr1	53906267	53906339	Mir7681	72	+	NR_106149	53906339	53906339	1
chr1	54307526	54425571	Ccdc150	118045	+	NM_030025	54307672	54425243	28
chr1	54452720	54495870	Gtf3c3	43150	-	NM_001033194	54454723	54495758	18
chr1	54529843	54614528	Pgap1	84685	-	NM_001163314	54537549	54614424	27
chr1	54702183	54983231	Ankrd44	281048	-	NM_001081433	54705120	54983010	28
chr1	55042012	55084322	Sf3b1	42310	-	NM_031179	55044177	55084210	25
chr1	55109613	55129546	Coq10b	19933	+	NM_001039710	55109718	55128647	5
chr1	55134677	55144776	Hspd1	10099	-	NM_010477	55135131	55143783	12
chr1	55144991	55148161	Hspe1	3170	+	NM_008303	55145253	55147964	4
chr1	55188088	55211743	Mob4	23655	+	NM_025283	55188143	55209650	8
chr1	55227003	55283626	Rftn2	56623	-	NM_028713	55228653	55283103	9
chr1	55294020	55296902	Mars2	2882	+	NM_175439	55294083	55295844	1
chr1	55356912	55420313	Boll	63401	-	NM_029267	55356912	55420163	10
chr1	55462789	55811129	Plcl1	348340	+	NM_001114663	55463231	55808307	6
chr1	55988084	56028942	9130227L01Rik	40858	+	NR_045837	56028942	56028942	6
chr1	56075821	56077047	1700003I22Rik	1226	+	NR_126076	56077047	56077047	2
chr1	56692892	56694295	Hsfy2	1403	-	NM_027661	56693041	56694220	1
chr1	56850824	57028178	Satb2	177354	-	NM_139146	56853626	57026665	11
chr1	57028312	57032040	9130024F11Rik	3728	+	NR_024326	57032040	57032040	2
chr1	57257488	57271840	BC055402	14352	-	NR_037990	57271840	57271840	7
chr1	57416065	57434388	4930558J18Rik	18323	-	NR_037999	57434388	57434388	4
chr1	57434463	57442266	1700066M21Rik	7803	+	NM_028546	57434514	57440408	2
chr1	57445087	57463518	Tyw5	18431	-	NM_001302962	57445339	57463305	9
chr1	57463391	57472802	9430016H08Rik	9411	+	NM_001081181	57463616	57472578	5
chr1	57831704	58005241	Spats2l	173537	+	NM_144882	57888943	58003307	14
chr1	58011944	58026928	Kctd18	14984	-	NM_001159864	58013171	58024533	7
chr1	58042183	58082741	Sgol2a	40558	+	NM_001177867	58042207	58081643	6
chr1	58086812	58163254	Aox1	76442	+	NM_009676	58086860	58162922	35
chr1	58169979	58257296	Aox3	87317	+	NM_023617	58170102	58257067	35
chr1	58267240	58325440	Aox4	58200	+	NM_023631	58267418	58324657	35
chr1	58335169	58436108	Aox2	100939	+	NM_001008419	58335262	58433159	36
chr1	58449979	58463392	Bzw1	13413	+	NM_025824	58451055	58461910	12
chr1	58468831	58480932	Clk1	12101	-	NM_001042634	58469040	58478778	13
chr1	58487836	58502330	Ppil3	14494	-	NM_027351	58488047	58501435	7
chr1	58504476	58519120	Nif3l1	14644	+	NM_022988	58504500	58518169	6
chr1	58519614	58561953	Orc2	42339	-	NM_001271526	58521047	58558260	18
chr1	58579649	58643177	Fam126b	63528	-	NM_001310598	58586501	58614871	13
chr1	58643240	58652808	Ndufb3	9568	+	NM_025597	58647935	58652649	3
chr1	58709484	58712675	Gm20257	3191	+	NR_045007	58712675	58712675	2
chr1	58714964	58752833	Als2cr12	37869	-	NM_175370	58715267	58749257	15
chr1	58768334	58816053	Cflar	47719	+	NM_001289704	58783280	58810766	10
chr1	58852217	58904347	Casp8	52130	+	NM_009812	58880786	58903598	9
chr1	58957293	59030326	Trak2	73033	-	NM_172406	58960347	59003181	16
chr1	59030414	59051965	Stradb	21551	+	NM_172656	59033897	59051280	12
chr1	59107349	59151744	Als2cr11	44395	-	NM_175200	59107766	59151704	13
chr1	59157436	59176940	Tmem237	19504	-	NM_001033449	59157980	59176858	13
chr1	59177778	59220233	Mpp4	42455	-	NM_001164682	59178096	59218358	23
chr1	59219599	59294075	Als2	74476	-	NM_028717	59221020	59277238	34
chr1	59313750	59409213	Cdk15	95463	+	NM_001033373	59313816	59401201	14
chr1	59538990	59543799	Fzd7	4809	+	NM_008057	59539803	59541522	1
chr1	59573107	59691353	Gm973	118246	+	NM_001013771	59573275	59691106	20
chr1	59696277	59727678	Sumo1	31401	-	NM_009460	59697043	59727535	5
chr1	59741849	59768354	Nop58	26505	+	NM_018868	59742025	59768165	15
chr1	59748801	59748854	Snord70	53	+	NR_028554	59748854	59748854	1
chr1	59761651	59761714	Snord11	63	+	NR_028521	59761714	59761714	1
chr1	59821122	59934925	Bmpr2	113803	+	NM_007561	59821496	59927329	13
chr1	59969849	60042192	Fam117b	72343	+	NM_001037725	59970007	60038571	8
chr1	60045911	60099966	Ica1l	54055	-	NM_001316694	60047967	60085073	11
chr1	60133711	60155344	Wdr12	21633	-	NM_001199060	60135007	60154391	14
chr1	60155090	60210797	Carf	55707	+	NM_001285463	60181982	60207531	18
chr1	60237442	60391549	Nbeal1	154107	+	NM_173444	60238547	60387836	55
chr1	60400143	60444904	Cyp20a1	44761	+	NM_030013	60400229	60444133	13
chr1	60466462	60538007	Abi2	71545	+	NM_001198570	60466646	60534851	12
chr1	60540028	60623609	Raph1	83581	-	NM_001045513	60545143	60590250	14
chr1	60803231	60830203	Cd28	26972	+	NM_007642	60803317	60826629	4
chr1	60965868	60972676	Ctla4	6808	+	NM_009843	60966014	60971561	4
chr1	61034757	61057164	Icos	22407	+	NM_017480	61034802	61054558	5
chr1	61435275	61452748	9530026F06Rik	17473	+	NR_040483	61452748	61452748	5
chr1	61685397	62688858	Pard3b	1003461	+	NM_001081050	61685816	62684497	23
chr1	62749890	62865266	Nrp2	115376	+	NM_001077403	62750778	62862211	17
chr1	62837491	62841306	4930487H11Rik	3815	-	NR_040601	62841306	62841306	3
chr1	63094374	63160841	Ino80d	66467	-	NM_001081436	63104556	63132875	12
chr1	63161044	63204869	Ino80dos	43825	+	NR_045915	63204869	63204869	4
chr1	63190165	63223396	Ndufs1	33231	-	NM_001160039	63190404	63217483	20
chr1	63223404	63227060	Eef1b2	3656	+	NM_018796	63223785	63226186	6
chr1	63225596	63225709	Snora41	113	+	NR_028558	63225709	63225709	1
chr1	63229144	63260855	Gpr1	31711	-	NM_146250	63229586	63230648	3
chr1	63246931	63361149	Zdbf2	114218	+	NM_001285936	63327391	63356519	7
chr1	63492464	63642675	Adam23	150211	+	NM_011780	63492784	63639230	26
chr1	63669424	63733501	Dytn	64077	-	NM_001081658	63669588	63731693	15
chr1	63745400	63776892	Mdh1b	31492	-	NM_029696	63745582	63776866	11
chr1	63777198	63799959	Fastkd2	22761	+	NM_172422	63778060	63798978	12
chr1	63801482	63815841	4933402D24Rik	14359	-	NM_001256158	63802672	63815779	3
chr1	64011300	64015573	Gm13749	4273	+	NR_027824	64015573	64015573	2
chr1	64082246	64167963	Klf7	85717	-	NM_033563	64082286	64167575	4
chr1	64089011	64089075	Mir6899	64	-	NR_105864	64089075	64089075	1
chr1	64579377	64651122	Creb1	71745	+	NM_009952	64597430	64643952	9
chr1	64653053	64663742	Mettl21a	10689	-	NM_025964	64654313	64662993	3
chr1	64726442	64737233	2810408I11Rik	10791	-	NR_038009	64737233	64737233	2
chr1	64737918	64772216	Ccnyl1	34298	+	NM_001097644	64737964	64770213	10
chr1	64777131	64784324	Fzd5	7193	-	NM_001042659	64781416	64783174	2
chr1	64835694	65003398	Plekhm3	167704	-	NM_001039493	64841610	64984883	8
chr1	65059651	65079333	Akr1cl	19682	-	NM_027582	65059840	65077222	10
chr1	65095130	65097737	Cryge	2607	-	NM_007777	65095197	65097687	3
