Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	FlyBase	CStart	CStop	NumExons
chrX	15344293	15347200	Ahcy13	2907	+	NM_001298339	n/a	15344423	15346510	3
chr3R	12804160	12807880	Ahcy89E	3720	-	NM_206499	CG8956	12804268	12807411	7
chr2R	8456518	8457352	Ak6	834	-	NM_136953	CG8816	8456580	8457231	3
chr2L	8415742	8431297	Akap200	15555	+	NM_001298823	n/a	8426910	8430367	5
chr3L	4141466	4142070	Akh	604	+	NM_079194	CG1171	4141585	4141893	2
chr2L	6711285	6716186	AkhR	4901	-	NM_001273220	n/a	6712342	6714691	7
chr3R	11924949	11931392	Akt1	6443	+	NM_001300425	n/a	11926908	11928836	7
chr2R	19852294	19854280	Alas	1986	+	NM_057933	CG3017	19852407	19854171	2
chr3R	22079790	22087313	Ald	7523	-	NM_170262	CG6058	22081063	22083742	4
chr2L	9387388	9391567	Aldh	4179	+	NM_135441	CG3752	9387767	9391439	4
chr2R	3354383	3364667	Aldh-III	10284	-	NM_165528	CG11140	3354800	3362999	15
chr3RHet	1894568	1899116	Alg-2	4548	-	NM_001110989	CG40410	1895247	1899042	3
chr3L	11158070	11159720	Alg10	1650	+	NM_168449	CG32076	11158175	11159646	3
chr3R	2923404	2949907	Alh	26503	-	NM_001275399	n/a	2924032	2949660	10
chr2R	12512797	12527516	Alk	14719	-	NM_001274098	n/a	12516577	12522158	9
chrX	15752166	15753412	AlkB	1246	-	NM_206735	CG33250	15752230	15753342	3
chr3L	21435326	21437919	Alp1	2593	-	NM_001275230	n/a	21435470	21437850	4
chr2R	18093509	18095492	Alp2	1983	-	NM_137810	CG3290	18093636	18095474	3
chr3R	26874650	26878262	Alp4	3612	+	NM_079862	CG1462	26874884	26878134	4
chrX	19642346	19644200	Alr	1854	+	NM_001272802	n/a	19642945	19643884	4
chr3L	21667493	21672855	Als2	5362	-	NM_141090	CG7158	21667838	21672598	5
chr3R	2588314	2590983	Ama	2669	+	NM_169160	CG2198	2588701	2590563	2
chr2L	287251	289144	Amnionless	1893	-	NM_001272884	n/a	287401	288919	1
chr2R	8481108	8499573	Amph	18465	+	NM_001273990	n/a	8481504	8498594	10
chr3R	11072884	11074859	Amt	1975	-	NM_001104330	CG6499	11072968	11074859	3
chrX	11604152	11609063	Amun	4911	-	NM_167299	CG2446	11605542	11607597	4
chr2R	13012268	13013874	Amy-d	1606	+	NM_079044	CG17876	13012304	13013789	1
chr2R	13006140	13007808	Amy-p	1668	-	NM_001299589	n/a	13006290	13007775	1
chr2R	12538599	12540204	Amyrel	1605	-	NM_057914	CG8221	12538664	12540202	2
chr2L	13905644	13909170	Ance	3526	+	NM_057698	CG8827	13906586	13909109	7
chr2L	13909332	13911719	Ance-2	2387	+	NM_176028	CG16869	13909639	13911640	4
chr2L	13914724	13956188	Ance-3	41464	+	NM_001298988	n/a	13915007	13955580	9
chr2R	4927232	4929647	Ance-4	2415	-	NM_001299294	n/a	4927295	4929073	7
chr2R	20776150	20778546	Ance-5	2396	-	NM_133164	CG10142	20776267	20778434	4
chrX	18072558	18073505	Andorra	947	-	NM_133044	CG12611	18072717	18073467	1
chr4	135699	150475	Ank	14776	-	NM_001169348	n/a	137494	150052	12
chr3L	7648488	7711495	Ank2	63007	-	NM_001202136	n/a	7649618	7710940	21
chrX	17465886	17473262	Ankle2	7376	-	NM_001298446	n/a	17466083	17472777	10
chr3R	26035669	26036104	Anp	435	+	NM_001300676	n/a	26035706	26035942	2
chrX	10672986	10680940	Ant2	7954	-	NM_176725	CG1683	10673253	10674550	4
chr3R	2721974	2824950	Antp	102976	-	NM_206453	CG1028	2724009	2735632	7
chrX	20065477	20067547	AnxB10	2070	-	NM_001169333	n/a	20065624	20067413	5
chrX	16310990	16316275	AnxB11	5285	-	NM_001272689	n/a	16311862	16314094	8
chr3R	16890962	16896639	AnxB9	5677	+	NM_206530	CG5730	16893191	16896499	5
chr3R	8258254	8259544	Aos1	1290	-	NM_141941	CG12276	8258316	8259453	3
chr3R	24658022	24670470	Apc	12448	-	NM_001316494	n/a	24661417	24666483	4
chr3R	19989687	19993485	Apc2	3798	+	NM_058082	CG6193	19989895	19993359	3
chr2L	16908228	16910418	ApepP	2190	-	NM_058061	CG6291	16908315	16910157	2
chr2L	9938177	9938790	Apf	613	-	NM_164880	CG31713	9938251	9938738	2
chr3L	1196316	1199339	Aplip1	3023	+	NM_167857	CG1200	1196542	1198627	5
chr2L	9634178	9656026	Apoltp	21848	+	NM_205948	CG15828	9641745	9655913	20
chrX	424533	473077	Appl	48544	+	NM_001258522	n/a	425831	469611	12
chr3L	1883891	1885019	Aprt	1128	-	NM_001299980	n/a	1884032	1884785	3
chr3L	10887875	10892223	Aps	4348	-	NM_168426	CG6391	10889230	10889977	5
chr2R	10245431	10247802	Arc1	2371	-	NM_137111	CG12505	10246940	10247705	1
chr2R	10249428	10250330	Arc2	902	+	NM_137112	CG13941	10249544	10250126	1
chr3R	15703458	15705031	Arc42	1573	+	NM_142583	CG4703	15703599	15704972	3
chr4	1144792	1145951	Arf102F	1159	+	NM_079892	CG11027	1144890	1145662	4
chr2R	11210005	11212995	Arf51F	2990	+	NM_166090	CG8156	11210988	11211849	5
chr3L	22861607	22865331	Arf79F	3724	-	NM_001104198	n/a	22862181	22863089	5
chr3L	12408125	12410680	ArfGAP1	2555	-	NM_079316	CG4237	12408435	12410312	5
chr3L	22707412	22710677	ArfGAP3	3265	-	NM_141152	CG6838	22708043	22710151	7
chr3R	7058150	7060735	Arfip	2585	-	NM_141801	n/a	7058803	7060452	5
chrX	9001101	9002387	Arfrp1	1286	+	NM_132298	CG7039	9001177	9001965	3
chr3L	9041979	9059127	Argk	17148	-	NM_168311	CG32031	9042375	9057607	4
chr3L	15976234	15977462	Arl1	1228	+	NM_079374	CG6025	15976376	15977284	3
chr3R	4166821	4167594	Arl2	773	+	NM_057538	CG7435	4166900	4167572	3
chr4	197973	200015	Arl4	2042	-	NM_001258479	n/a	198066	199955	5
chr3L	8291600	8292939	Arl5	1339	-	NM_139944	CG7197	8291850	8292390	1
chr2R	15331683	15332563	Arl6	880	+	NM_001299686	n/a	15331721	15332501	4
chr3R	8517464	8519954	Arp1	2490	+	NM_079607	CG6174	8517543	8519695	6
chrX	19538563	19540209	Arp10	1646	-	NM_001298523	n/a	19538702	19539949	3
chrX	16442322	16447984	Arp2	5662	-	NM_001103531	CG9901	16443274	16447424	7
chr3L	8106506	8109002	Arp3	2496	-	NM_079244	CG7558	8107055	8108825	6
chr3R	14011219	14013597	Arp5	2378	+	NM_142427	CG7940	14011541	14013546	2
chr2R	12661750	12663181	Arp53D	1431	+	NM_057689	CG5409	12661766	12663055	2
chrX	15629806	15631153	Arp6	1347	-	NM_078610	CG11678	15629869	15631066	1
chrX	17752411	17754833	Arp8	2422	-	NM_133023	CG7846	17752802	17754759	3
chr2L	13827940	13829741	Arpc1	1801	-	NM_165063	CG8978	13828215	13829418	3
chr2L	20417056	20423027	Arpc2	5971	+	NM_001299173	n/a	20417593	20422496	8
chr3R	11660369	11661743	Arpc3A	1374	+	NM_169675	CG4560	11660487	11661272	3
chrX	16998603	16999885	Arpc3B	1282	-	NM_001272711	n/a	16998674	16999644	3
chr2L	6125131	6125911	Arpc4	780	+	NM_135152	CG5972	6125248	6125755	2
chr2L	2580291	2581423	Arpc5	1132	+	NM_001273016	n/a	2580368	2580886	2
chr2L	18078268	18081307	Arr1	3039	+	NM_001259144	n/a	18078387	18080194	4
chr3L	8640360	8642036	Arr2	1676	-	NM_079252	CG5962	8640590	8641925	3
chr2R	1968332	1973130	Ars2	4798	-	NM_001273791	n/a	1971861	1972730	9
chr3R	6612202	6613948	Art1	1746	-	NM_141760	CG6554	6612487	6613836	4
chr2L	4277695	4281324	Art2	3629	-	NM_001298671	n/a	4278038	4279290	4
chr3R	11053326	11055130	Art3	1804	-	NM_142177	n/a	11053372	11054987	2
chr3R	5808537	5811782	Art4	3245	-	NM_001275516	n/a	5809634	5811401	4
chr3R	9770375	9771534	Art6	1159	-	NM_142065	CG9927	9770420	9771504	2
chr2R	18964210	18966561	Art7	2351	-	NM_137909	CG9882	18964302	18966496	3
chr2L	11009820	11011086	Art8	1266	-	NM_135634	CG16840	11009910	11010992	2
chr3R	9767959	9769182	Art9	1223	-	NM_142064	CG9929	9768069	9769124	3
chr2R	4001790	4010506	Asap	8716	-	NM_001299254	n/a	4002770	4009890	13
chr4	490034	506659	Asator	16625	-	NM_001272127	n/a	492914	505858	14
chr3L	3163785	3166250	Asciz	2465	-	NM_001274428	n/a	3163908	3165075	4
chr3R	15705440	15711752	Ask1	6312	+	NM_057741	CG4720	15705645	15711453	10
chr3L	21166217	21168073	AsnS	1856	+	NM_206410	CG33486	21166299	21167976	1
chr2R	11997835	12004501	Asph	6666	+	NM_001274091	n/a	11998124	12004248	14
chr3R	20586251	20590793	AstA	4542	-	NM_079765	CG13633	20586979	20587496	3
chrX	3468568	3560757	AstA-R1	92189	+	NM_079961	CG2872	3539503	3558698	11
chr3R	24562830	24570504	AstA-R2	7674	-	NM_079820	CG10001	24563272	24569747	4
chr2L	11076164	11081399	AstC	5235	-	NM_078818	CG14919	11076734	11077221	4
chr3L	18553357	18569426	AstC-R1	16069	+	NM_140783	CG7285	18566939	18568511	4
chr3L	18478236	18495657	AstC-R2	17421	-	NM_001031964	CG13702	18479828	18481904	4
chr2L	11083458	11085229	AstCC	1771	-	NM_001298901	n/a	11083786	11085170	4
chr2R	10391462	10399998	Asx	8536	+	NM_166057	CG8787	10392751	10398856	11
chr2L	6959098	6960328	Atac1	1230	-	NM_135244	CG9200	6959182	6960253	1
chr2L	18609575	18612249	Atac2	2674	-	NM_136045	CG10414	18609606	18612178	5
chr3L	324984	327992	Atac3	3008	-	NM_001259602	n/a	325235	327641	10
chr2R	16142470	16144895	Ate1	2425	-	NM_001274172	n/a	16142550	16144787	8
