Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	CStart	CStop	NumExons
chr1	15783222	15798586	CELA2A	15364	+	NM_033440	15783248	15798502	8
chr1	15802595	15817895	CELA2B	15300	+	NM_015849	15802620	15817807	8
chr1	15817895	15851285	CASP9	33390	-	NM_032996	15819437	15844773	9
chr1	15853307	15898228	DNAJC16	44921	+	NR_109898	15898228	15898228	15
chr1	15898193	15911605	AGMAT	13412	-	NM_024758	15900145	15911462	7
chr1	15943952	15987552	DDI2	43600	+	NM_032341	15944165	15983128	10
chr1	15986207	15988525	RSC1A1	2318	+	NM_006511	15986363	15988217	1
chr1	16010826	16061264	PLEKHM2	50438	+	NM_015164	16011053	16060429	20
chr1	16062808	16067887	SLC25A34	5079	+	NM_207348	16062980	16065901	5
chr1	16068986	16074292	TMEM82	5306	+	NM_001013641	16069054	16074127	6
chr1	16085254	16113084	FBLIM1	27830	+	NM_017556	16091478	16111156	9
chr1	16133656	16134194	UQCRHL	538	-	NM_001089591	16133868	16134144	1
chr1	16160709	16174642	FLJ37453	13933	-	NR_024279	16174642	16174642	2
chr1	16174358	16266950	SPEN	92592	+	NM_015001	16174562	16265922	15
chr1	16268363	16302627	ZBTB17	34264	-	NM_001287604	16268463	16273595	16
chr1	16330730	16333190	C1orf64	2460	+	NM_178840	16330798	16332841	2
chr1	16340522	16345285	HSPB7	4763	-	NM_014424	16342074	16344458	3
chr1	16348485	16360545	CLCNKA	12060	+	NM_001042704	16349114	16360153	20
chr1	16370230	16383821	CLCNKB	13591	+	NM_000085	16370987	16383411	20
chr1	16384263	16400127	FAM131C	15864	-	NM_182623	16384931	16399937	7
chr1	16450831	16482582	EPHA2	31751	-	NM_004431	16451709	16482427	17
chr1	16524598	16539104	ARHGEF19	14506	-	NM_153213	16525081	16535549	16
chr1	16558181	16563659	RSG1	5478	-	NM_030907	16558542	16563237	5
chr1	16573334	16678986	FBXO42	105652	-	NM_018994	16577164	16641913	10
chr1	16693524	16724643	SZRD1	31119	+	NR_073501	16724643	16724643	5
chr1	16725137	16763919	SPATA21	38782	-	NM_198546	16725259	16757866	13
chr1	16767166	16786584	NECAP2	19418	+	NM_001145278	16767256	16785385	8
chr1	16793930	16819196	CROCCP3	25266	-	NR_023386	16819196	16819196	15
chr1	16865218	16866530	FAM231B	1312	+	NM_001310155	16865560	16866070	1
chr1	16875408	16875482	MIR3675	74	+	NR_037446	16875482	16875482	1
chr1	16888921	16940100	NBPF1	51179	-	NM_017940	16890437	16918516	29
chr1	16944750	16957401	CROCCP2	12651	-	NR_026752	16957401	16957401	7
chr1	16972068	16976915	MST1P2	4847	+	NR_027504	16976915	16976915	14
chr1	16999497	17000007	FAM231A	510	+	NM_001282321	16999497	17000007	1
chr1	16999497	17000152	FAM231C	655	+	NM_001310138	16999497	17000007	1
chr1	17017712	17046652	ESPNP	28940	-	NR_026567	17046652	17046652	11
chr1	17081128	17090975	MST1L	9847	-	NM_001271733	17083726	17090975	15
chr1	17248444	17299474	CROCC	51030	+	NM_014675	17248513	17298941	37
chr1	17300998	17308081	MFAP2	7083	-	NM_001135247	17301414	17304768	9
chr1	17312452	17338467	ATP13A2	26015	-	NM_001141973	17312715	17338233	29
chr1	17345224	17380665	SDHB	35441	-	NM_003000	17345375	17380514	8
chr1	17393255	17445948	PADI2	52693	-	NM_007365	17395538	17445866	16
chr1	17531620	17572501	PADI1	40881	+	NM_013358	17531712	17570738	16
chr1	17575592	17610727	PADI3	35135	+	NM_016233	17575632	17609574	16
chr1	17604383	17604470	MIR3972	87	+	NR_039768	17604470	17604470	1
chr1	17634689	17690495	PADI4	55806	+	NM_012387	17634717	17690250	16
chr1	17698690	17728195	PADI6	29505	+	NM_207421	17698740	17727934	17
chr1	17733250	17766250	RCC2	33000	-	NM_018715	17735585	17765010	13
chr1	17866329	18024370	ARHGEF10L	158041	+	NM_018125	17907090	18023875	29
chr1	18081807	18153558	ACTL8	71751	+	NM_030812	18149503	18153014	3
chr1	18392150	18400905	LOC101927876	8755	+	NR_125946	18400905	18400905	3
chr1	18434239	18704977	IGSF21	270738	+	NM_032880	18434622	18704820	10
chr1	18807423	18812480	KLHDC7A	5057	+	NM_152375	18807475	18809809	1
chr1	18957499	19075360	PAX7	117861	+	NM_001135254	18958097	19071423	9
chr1	19166092	19186155	TAS1R2	20063	-	NM_152232	19166092	19186154	6
chr1	19197923	19229293	ALDH4A1	31370	-	NM_170726	19199338	19229017	16
chr1	19209695	19209769	MIR4695	74	-	NR_039844	19209769	19209769	1
chr1	19223564	19223642	MIR1290	78	-	NR_031622	19223642	19223642	1
chr1	19230773	19282826	IFFO2	52053	-	NM_001136265	19235054	19282826	9
chr1	19400999	19536746	UBR4	135747	-	NM_020765	19401325	19536742	106
chr1	19542157	19578053	EMC1	35896	-	NM_015047	19545796	19578003	23
chr1	19578074	19586622	MRTO4	8548	+	NM_016183	19578329	19585324	8
chr1	19592475	19600568	AKR7L	8093	-	NR_040288	19600568	19600568	7
chr1	19609056	19615280	AKR7A3	6224	-	NM_012067	19609224	19615203	7
chr1	19619740	19622230	LOC100506730	2490	-	NR_037847	19622230	19622230	1
chr1	19629201	19638640	AKR7A2	9439	-	NM_003689	19630718	19638618	7
chr1	19638739	19658922	PQLC2	20183	+	NR_109848	19658922	19658922	10
chr1	19665266	19812135	CAPZB	146869	-	NM_001206540	19669255	19811932	10
chr1	19923470	19956315	MINOS1	32845	+	NM_001204083	19923539	19952086	5
chr1	19923470	19984949	MINOS1-NBL1	61479	+	NM_001204088	19927442	19983622	5
chr1	19934300	19935138	RPS14P3	838	+	NR_077246	19935138	19935138	1
chr1	19969722	19984949	NBL1	15227	+	NM_182744	19969805	19983622	4
chr1	19991779	20007459	HTR6	15680	+	NM_000871	19992246	20005861	3
chr1	20008705	20126410	TMCO4	117705	-	NM_181719	20009532	20107251	16
chr1	20140521	20141771	RNF186	1250	-	NM_019062	20140910	20141594	1
chr1	20208887	20239437	OTUD3	30550	+	NM_015207	20209006	20234239	8
chr1	20246799	20250110	PLA2G2E	3311	-	NM_014589	20246799	20250052	4
chr1	20301923	20306932	PLA2G2A	5009	-	NM_000300	20302193	20305266	6
chr1	20396700	20418394	PLA2G5	21694	+	NM_000929	20411323	20417185	5
