uniqueID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	uniprotID	description	geneSymbol	txSize	cdsSize
YAL039C	chrI	-	68715	69525	68715	69525	1	68715,	69525,	P06182	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space  human ortholog may have a role in microphthalmia with linear skin defects (MLS)	CYC3	810	810
YAL038W	chrI	+	71785	73288	71785	73288	1	71785,	73288,	P00549	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	CDC19	1503	1503
YAL037C-B	chrI	-	72325	73300	72325	73300	1	72325,	73300,	n/a	Dubious open reading frame unlikely to encode a protein  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAL037C-B	975	975
YAL037C-A	chrI	-	73425	73518	73425	73518	1	73425,	73518,	Q3E741	Putative protein of unknown function	YAL037C-A	93	93
YAL037W	chrI	+	74019	74823	74019	74823	1	74019,	74823,	P39728	Putative protein of unknown function	YAL037W	804	804
YAL036C	chrI	-	75042	76152	75042	76152	1	75042,	76152,	P39729	Member of the DRG family of GTP-binding proteins  associates with translating ribosomes  interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	RBG1	1110	1110
YAL035W	chrI	+	76426	79435	76426	79435	1	76426,	79435,	P39730	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining  homolog of bacterial IF2	FUN12	3009	3009
YAL034C-B	chrI	-	79488	79842	79488	79842	1	79488,	79842,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL034C-B	354	354
YAL034W-A	chrI	+	79717	80587	79717	80587	1	79717,	80587,	P39731	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules  critical to kinetochore assembly	MTW1	870	870
YAL034C	chrI	-	80709	81951	80709	81951	1	80709,	81951,	P28003	Non-essential protein of unknown function  expression induced in response to heat stress	FUN19	1242	1242
YAL033W	chrI	+	82705	83227	82705	83227	1	82705,	83227,	P28005	Subunit of both RNase MRP and nuclear RNase P  RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	POP5	522	522
YAL032C	chrI	-	83334	84474	83334	84474	1	83334,	84474,	P28004	Protein required for pre-mRNA splicing  associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p  orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	PRP45	1140	1140
YAL031W-A	chrI	+	84668	84977	84668	84977	1	84668,	84977,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL031W-A	309	309
YAL031C	chrI	-	84748	87031	84748	87031	1	84748,	87031,	P39732	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation  potential Cdc28p substrate	GIP4	2283	2283
YAL030W	chrI	+	87285	87752	87285	87752	2	87285,87500,	87387,87752,	P31109	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane  proposed to be involved in endocytosis  member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	SNC1	467	467
YAL029C	chrI	-	87854	92270	87854	92270	1	87854,	92270,	P32492	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos  required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p	MYO4	4416	4416
YAL028W	chrI	+	92899	94486	92899	94486	1	92899,	94486,	P39734	Tail-anchored ER membrane protein, interacts with homolog Frt1p  promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation  potential Cdc28p substrate	FRT2	1587	1587
YAL027W	chrI	+	94686	95472	94686	95472	1	94686,	95472,	P39735	Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing  green fluorescent protein (GFP)-fusion protein localizes to the nucleus	SAW1	786	786
YAL026C-A	chrI	-	95385	95823	95385	95823	1	95385,	95823,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2	YAL026C-A	438	438
YAL026C	chrI	-	95629	99697	95629	99697	1	95629,	99697,	P39524	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles  contributes to clathrin-coated vesicle formation and endocytosis  mutations in human homolog ATP8B1 result in liver disease	DRS2	4068	4068
YAL025C	chrI	-	100224	101145	100224	101145	1	100224,	101145,	P10962	Essential nuclear protein, constituent of 66S pre-ribosomal particles  required for maturation of 25S and 5.8S rRNAs  required for maintenance of M1 satellite double-stranded RNA of the L-A virus	MAK16	921	921
YAL024C	chrI	-	101564	105872	101564	105872	1	101564,	105872,	P07866	Protein similar to GDP/GTP exchange factors but without detectable GEF activity  required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	LTE1	4308	4308
YAL023C	chrI	-	106271	108551	106271	108551	1	106271,	108551,	P31382	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues  involved in ER quality control  acts in a complex with Pmt1p, can instead interact with Pmt5  target for new antifungal	PMT2	2280	2280
YAL022C	chrI	-	108876	110430	108876	110430	1	108876,	110430,	P31381	Vacuolar membrane transporter with broad nucleoside selectivity  may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis	FUN26	1554	1554
YAL021C	chrI	-	110845	113359	110845	113359	1	110845,	113359,	P31384	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression  component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	CCR4	2514	2514
YAL020C	chrI	-	113613	114615	113613	114615	1	113613,	114615,	P31386	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA  has a potential role in regulatory interactions between microtubules and the cell cycle	ATS1	1002	1002
YAL019W-A	chrI	+	114249	114819	114249	114819	1	114249,	114819,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL019W-A	570	570
YAL019W	chrI	+	114918	118314	114918	118314	1	114918,	118314,	P31380	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity  has a role in silencing  potential Cdc28p substrate  authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies	FUN30	3396	3396
YAL018C	chrI	-	118563	119541	118563	119541	1	118563,	119541,	P31379	Putative protein of unknown function	YAL018C	978	978
YAL017W	chrI	+	120224	124295	120224	124295	1	120224,	124295,	P31374	One of two (see also PSK2) PAS domain containing S/T protein kinases  coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	PSK1	4071	4071
YAL016C-B	chrI	-	124306	124492	124306	124492	1	124306,	124492,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL016C-B	186	186
YAL016C-A	chrI	-	124754	125069	124754	125069	1	124754,	125069,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL016C-A	315	315
YAL016W	chrI	+	124878	126786	124878	126786	1	124878,	126786,	P31383	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p  required for cell morphogenesis and transcription by RNA polymerase III	TPD3	1908	1908
YAL015C	chrI	-	126902	128102	126902	128102	1	126902,	128102,	P31378	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair  acts in both nucleus and mitochondrion  creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress	NTG1	1200	1200
YAL014C	chrI	-	128251	129019	128251	129019	1	128251,	129019,	P31377	Endosomal SNARE related to mammalian syntaxin 8	SYN8	768	768
YAL013W	chrI	+	129269	130487	129269	130487	1	129269,	130487,	P31385	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	DEP1	1218	1218
YAL011W	chrI	+	132198	134076	132198	134076	1	132198,	134076,	P31376	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A  required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	SWC3	1878	1878
YAL010C	chrI	-	134183	135665	134183	135665	1	134183,	135665,	P18409	Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins	MDM10	1482	1482
YAL009W	chrI	+	135853	136633	135853	136633	1	135853,	136633,	P18410	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation	SPO7	780	780
YAL008W	chrI	+	136913	137510	136913	137510	1	136913,	137510,	P18411	Mitochondrial protein of unknown function	FUN14	597	597
YAL007C	chrI	-	137697	138345	137697	138345	1	137697,	138345,	P39704	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p  member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles	ERP2	648	648
YAL005C	chrI	-	139502	141431	139502	141431	1	139502,	141431,	P10591	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport  member of heat shock protein 70 (HSP70) family  forms a chaperone complex with Ydj1p  localized to the nucleus, cytoplasm, and cell wall  98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes	SSA1	1929	1929
YAL004W	chrI	+	140759	141407	140759	141407	1	140759,	141407,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  completely overlaps verified gene SSA1/YAL005C	YAL004W	648	648
YAL003W	chrI	+	142173	143160	142173	143160	2	142173,142619,	142253,143160,	P32471	Translation elongation factor 1 beta  stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle  part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site	EFB1	987	987
YAL002W	chrI	+	143706	147531	143706	147531	1	143706,	147531,	P39702	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization  component of the CORVET complex  required for localization and trafficking of the CPY sorting receptor  contains RING finger motif	VPS8	3825	3825
YAL001C	chrI	-	147593	151166	147593	151166	2	147593,151096,	151006,151166,	P34111	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)  part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes  cooperates with Tfc6p in DNA binding	TFC3	3573	3573
YAR002W	chrI	+	152256	153876	152256	153876	1	152256,	153876,	P39705	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP  involved in nuclear export and cytoplasmic localization of specific mRNAs such as ASH1	NUP60	1620	1620
YAR002C-A	chrI	-	154064	154724	154064	154724	1	154064,	154724,	Q05359	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p  member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles	ERP1	660	660
YAR003W	chrI	+	155004	156285	155004	156285	1	155004,	156285,	P39706	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres  WD40 beta propeller superfamily member with similarity to mammalian Rbbp7	SWD1	1281	1281
YAR007C	chrI	-	156753	158619	156753	158619	1	156753,	158619,	P22336	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination	RFA1	1866	1866
YAR008W	chrI	+	158965	159793	158965	159793	1	158965,	159793,	P39707	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p  Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	SEN34	828	828
YAR009C	chrI	-	160596	164187	160596	164187	1	160596,	164187,	A5JYZ4	Retrotransposon TYA Gag and TYB Pol genes  in YARCTY1-1 TYB is mutant and probably non-functional	YAR009C	3591	3591
YAR010C	chrI	-	164543	165866	164543	165866	1	164543,	165866,	O13528	Retrotransposon TYA Gag gene co-transcribed with TYB Pol  in YARCTY1-1 TYB is mutant and probably non-functional	YAR010C	1323	1323
YAR014C	chrI	-	166741	168871	166741	168871	1	166741,	168871,	P27637	Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein  inhibitor of the actin assembly factor Bnr1p (formin)  diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	BUD14	2130	2130
YAR015W	chrI	+	169374	170295	169374	170295	1	169374,	170295,	P27616	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis  red pigment accumulates in mutant cells deprived of adenine	ADE1	921	921
YAR018C	chrI	-	170395	171703	170395	171703	1	170395,	171703,	P22209	Nonessential serine/threonine protein kinase  possible role in DNA damage response	KIN3	1308	1308
YAR019C	chrI	-	172210	175135	172210	175135	1	172210,	175135,	P27636	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase  promotes mitotic exit by directly switching on the kinase activity of Dbf2p  required for spindle disassembly after meiosis II	CDC15	2925	2925
YAR019W-A	chrI	+	174997	175330	174997	175330	1	174997,	175330,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR019W-A	333	333
YAR020C	chrI	-	176855	177023	176855	177023	1	176855,	177023,	P39545	Member of the seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme	PAU7	168	168
YAR023C	chrI	-	179280	179820	179280	179820	1	179280,	179820,	D6VPM8	Putative integral membrane protein, member of DUP240 gene family	YAR023C	540	540
YAR027W	chrI	+	183769	184477	183769	184477	1	183769,	184477,	P39547	Putative integral membrane protein of unknown function  interacts with Ulp1p at the nuclear periphery  member of DUP240 gene family	UIP3	708	708
YAR028W	chrI	+	184891	185596	184891	185596	1	184891,	185596,	P39548	Putative integral membrane protein, member of DUP240 gene family  GFP-fusion protein is induced in response to the DNA-damaging agent MMS	YAR028W	705	705
YAR029W	chrI	+	186320	186545	186320	186545	1	186320,	186545,	P39549	Member of DUP240 gene family but contains no transmembrane domains  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	YAR029W	225	225
YAR030C	chrI	-	186511	186853	186511	186853	1	186511,	186853,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9	YAR030C	342	342
YAR031W	chrI	+	186835	187732	186835	187732	1	186835,	187732,	P39551	Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding  member of DUP240 gene family	PRM9	897	897
YAR033W	chrI	+	188106	188811	188106	188811	1	188106,	188811,	P39552	Putative integral membrane protein, involved in vesicle formation  forms complex with Mst27p  member of DUP240 gene family  binds COPI and COPII vesicles	MST28	705	705
YAR035W	chrI	+	190192	192256	190192	192256	1	190192,	192256,	P80235	Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix  phosphorylated	YAT1	2064	2064
YAR035C-A	chrI	-	192336	192417	192336	192417	1	192336,	192417,	Q8TGV0	"Putative protein of unknown function  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching  predicted to have a role in cell budding based on computational ""guilt by association"" analysis"	YAR035C-A	81	81
YAR042W	chrI	+	192618	196185	192618	196185	1	192618,	196185,	P35845	Protein similar to mammalian oxysterol-binding protein  contains ankyrin repeats  localizes to the Golgi and the nucleus-vacuole junction	SWH1	3567	3567
YAR047C	chrI	-	201466	201787	201466	201787	1	201466,	201787,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR047C	321	321
YAR050W	chrI	+	203402	208016	203402	208016	1	203402,	208016,	P32768	Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant  similar to Flo5p	FLO1	4614	4614
YAR053W	chrI	+	208366	208663	208366	208663	1	208366,	208663,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR053W	297	297
YAR060C	chrI	-	217156	217492	217156	217492	1	217156,	217492,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR060C	336	336
YAR064W	chrI	+	220197	220497	220197	220497	1	220197,	220497,	P39563	Putative protein of unknown function	YAR064W	300	300
YAR066W	chrI	+	221048	221660	221048	221660	1	221048,	221660,	P38897	Putative GPI protein	YAR066W	612	612
YAR068W	chrI	+	222405	222891	222405	222891	1	222405,	222891,	P39564	Fungal-specific protein of unknown function  induced in respiratory-deficient cells	YAR068W	486	486
YAR069C	chrI	-	224010	224304	224010	224304	1	224010,	224304,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR069C	294	294
YAR070C	chrI	-	224562	224862	224562	224862	1	224562,	224862,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR070C	300	300
YAR071W	chrI	+	225459	226863	225459	226863	1	225459,	226863,	P35842	One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway  induced by phosphate starvation and coordinately regulated by PHO4 and PHO2	PHO11	1404	1404
YAR073W	chrI	+	227741	228953	227741	228953	1	227741,	228953,	n/a	Nonfunctional protein with homology to IMP dehydrogenase  probable pseudogene, located close to the telomere  is not expressed at detectable levels  YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae	IMD1	1212	1212
YAR075W	chrI	+	228843	229317	228843	229317	1	228843,	229317,	n/a	Non-functional protein with homology IMP dehydrogenase  YAR073W/IMD1 and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae.	YAR075W	474	474
Q0010	chrM	+	3951	4338	3951	4338	1	3951,	4338,	n/a	Dubious mitochondrial open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the dubious ORF Q0017	Q0010	387	387
Q0017	chrM	+	4253	4415	4253	4415	1	4253,	4415,	n/a	Dubious mitochondrial open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the dubious ORF Q0010	Q0017	162	162
Q0032	chrM	+	11666	11957	11666	11957	1	11666,	11957,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	Q0032	291	291
Q0045	chrM	+	13817	26701	13817	26701	8	13817,16434,18953,20507,21994,23611,25317,26228,	13986,16470,18991,20984,22246,23746,25342,26701,	P00401	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain  one of three mitochondrially-encoded subunits	COX1	12884	12884
Q0070	chrM	+	13817	23167	13817	23167	5	13817,16434,18953,20507,21994,	13986,16470,18991,20984,23167,	Q9ZZX1	Endonuclease I-SceIV, involved in intron mobility  encoded by a mobile group I intron within the mitochondrial COX1 gene	AI5_ALPHA	9350	9350
