uniqueID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	uniprotID	description	geneSymbol	txSize	cdsSize
YAL061W	chrI	+	33448	34702	33448	34702	1	33448,	34702,	P39713	Putative medium-chain alcohol dehydrogenase with similarity to BDH1  transcription induced by constitutively active PDR1 and PDR3  BDH2 is an essential gene	YAL061W	1254	1254
YAL060W	chrI	+	35155	36304	35155	36304	1	35155,	36304,	P39714	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin  enhances use of 2,3-butanediol as an aerobic carbon source	BDH1	1149	1149
YAL059C-A	chrI	-	36496	36919	36496	36919	1	36496,	36919,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified gene ECM1/YAL059W	YAL059C-A	423	423
YAL059W	chrI	+	36509	37148	36509	37148	1	36509,	37148,	P39715	Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export	ECM1	639	639
YAL058W	chrI	+	37464	38973	37464	38973	1	37464,	38973,	P27825	Calnexin  integral membrane ER chaperone involved in folding and quality control of glycoproteins  chaperone activity is inhibited by Mpd1p, with which Cne1p interacts  24% identical to mammalian calnexin  Ca+ binding not yet shown in yeast	CNE1	1509	1509
YAL056C-A	chrI	-	38696	39047	38696	39047	1	38696,	39047,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL056C-A	351	351
YAL056W	chrI	+	39259	41902	39259	41902	1	39259,	41902,	P39717	Multistep regulator of cAMP-PKA signaling  inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency  inhibits Ras activity through direct interactions with Ira1p/2p  regulated by G-alpha protein Gpa2p  homolog of Gpb1p	GPB2	2643	2643
YAL055W	chrI	+	42177	42720	42177	42720	1	42177,	42720,	P39718	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation	PEX22	543	543
YAL054C	chrI	-	42881	45023	42881	45023	1	42881,	45023,	Q01574	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation  expressed during growth on nonfermentable carbon sources and under aerobic conditions	ACS1	2142	2142
YAL053W	chrI	+	45899	48251	45899	48251	1	45899,	48251,	P39719	Putative FAD transporter  required for uptake of FAD into endoplasmic reticulum  involved in cell wall maintenance	YAL053W	2352	2352
YAL051W	chrI	+	48564	51708	48564	51708	1	48564,	51708,	P39720	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p  activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis	OAF1	3144	3144
YAL049C	chrI	-	51855	52596	51855	52596	1	51855,	52596,	P39721	Cytoplasmic protein of unknown function, potential Hsp82p interactor  YAL049C is not an essential gene	YAL049C	741	741
YAL048C	chrI	-	52801	54790	52801	54790	1	52801,	54790,	P39722	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology  cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria  not required for pheromone-induced cell death	YAL048C	1989	1989
YAL047W-A	chrI	+	54584	54914	54584	54914	1	54584,	54914,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL047W-A	330	330
YAL047C	chrI	-	54989	56858	54989	56858	1	54989,	56858,	P39723	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules  has roles in astral microtubule formation and stabilization	SPC72	1869	1869
YAL046C	chrI	-	57029	57386	57029	57386	1	57029,	57386,	P39724	Putative protein of unknown function  YAL046C is not an essential gene	YAL046C	357	357
YAL045C	chrI	-	57488	57797	57488	57797	1	57488,	57797,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  almost completely overlaps YAL044W-A	YAL045C	309	309
YAL044W-A	chrI	+	57518	57851	57518	57851	1	57518,	57851,	Q3E793	Putative protein of unknown function  similar to S. pombe uvi31 which is a putative DNA repair protein	YAL044W-A	333	333
YAL044C	chrI	-	57950	58463	57950	58463	1	57950,	58463,	P39726	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF  expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm	YAL044C	513	513
YAL043C	chrI	-	58695	61053	58695	61053	1	58695,	61053,	Q01329	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends  involved in pre-tRNA processing  binds to the phosphorylated CTD of RNAPII	PTA1	2358	2358
YAL042C-A	chrI	-	61231	61609	61231	61609	1	61231,	61609,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified ORF ERV46/YAL042W  YAL042C-A is a non-essential gene	YAL042C-A	378	378
YAL042W	chrI	+	61316	62564	61316	62564	1	61316,	62564,	P39727	Protein localized to COPII-coated vesicles, forms a complex with Erv41p  involved in the membrane fusion stage of transport	ERV46	1248	1248
YAL041W	chrI	+	62840	65405	62840	65405	1	62840,	65405,	P11433	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p  required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing	CDC24	2565	2565
YAL040C	chrI	-	65778	67521	65778	67521	1	65778,	67521,	P13365	G1 cyclin involved in cell cycle progression  activates Cdc28p kinase to promote the G1 to S phase transition  plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2  regulated by phosphorylation and proteolysis	CLN3	1743	1743
YAL039C	chrI	-	68716	69526	68716	69526	1	68716,	69526,	P06182	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space  human ortholog may have a role in microphthalmia with linear skin defects (MLS)	CYC3	810	810
YAL038W	chrI	+	71786	73289	71786	73289	1	71786,	73289,	P00549	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	CDC19	1503	1503
YAL037C-B	chrI	-	72326	73301	72326	73301	1	72326,	73301,	n/a	Dubious open reading frame unlikely to encode a protein  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAL037C-B	975	975
YAL037C-A	chrI	-	73426	73519	73426	73519	1	73426,	73519,	Q3E741	Putative protein of unknown function	YAL037C-A	93	93
YAL037W	chrI	+	74020	74824	74020	74824	1	74020,	74824,	P39728	Putative protein of unknown function	YAL037W	804	804
YAL036C	chrI	-	75043	76153	75043	76153	1	75043,	76153,	P39729	Member of the DRG family of GTP-binding proteins  interacts with translating ribosomes and with Tma46p	YAL036C	1110	1110
YAL035W	chrI	+	76427	79436	76427	79436	1	76427,	79436,	P39730	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining  homolog of bacterial IF2	FUN12	3009	3009
YAL034C-B	chrI	-	79489	79843	79489	79843	1	79489,	79843,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL034C-B	354	354
YAL034W-A	chrI	+	79718	80588	79718	80588	1	79718,	80588,	P39731	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules  critical to kinetochore assembly	MTW1	870	870
YAL034C	chrI	-	80710	81952	80710	81952	1	80710,	81952,	P28003	Non-essential protein of unknown function  expression induced in response to heat stress	YAL034C	1242	1242
YAL033W	chrI	+	82706	83228	82706	83228	1	82706,	83228,	P28005	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	POP5	522	522
YAL032C	chrI	-	83335	84475	83335	84475	1	83335,	84475,	P28004	Protein required for pre-mRNA splicing  associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p  orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	PRP45	1140	1140
YAL031W-A	chrI	+	84669	84978	84669	84978	1	84669,	84978,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL031W-A	309	309
YAL031C	chrI	-	84749	87032	84749	87032	1	84749,	87032,	P39732	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation  potential Cdc28p substrate	FUN21	2283	2283
YAL030W	chrI	+	87286	87753	87286	87753	2	87286,87501,	87388,87753,	P31109	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane  proposed to be involved in endocytosis  member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	YAL030W	467	467
YAL029C	chrI	-	87855	92271	87855	92271	1	87855,	92271,	P32492	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos  required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p	MYO4	4416	4416
YAL028W	chrI	+	92900	94487	92900	94487	1	92900,	94487,	P39734	Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress  potential Cdc28p substrate	FRT2	1587	1587
YAL027W	chrI	+	94687	95473	94687	95473	1	94687,	95473,	P39735	Catalyzes 3'-nonhomologous tail removal of Rad1p/Rad10p-dependent single-strand annealing recombination intermediates  green fluorescent protein (GFP)-fusion protein localizes to the nucleus  YAL027W is a non-essential gene	YAL027W	786	786
YAL026C-A	chrI	-	95386	95824	95386	95824	1	95386,	95824,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2	YAL026C-A	438	438
YAL026C	chrI	-	95630	99698	95630	99698	1	95630,	99698,	P39524	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles  contributes to clathrin-coated vesicle formation and endocytosis  mutations in human homolog ATP8B1 result in liver disease	DRS2	4068	4068
YAL025C	chrI	-	100225	101146	100225	101146	1	100225,	101146,	P10962	Essential nuclear protein, constituent of 66S pre-ribosomal particles  required for maturation of 25S and 5.8S rRNAs  required for maintenance of M1 satellite double-stranded RNA of the L-A virus	MAK16	921	921
YAL024C	chrI	-	101565	105873	101565	105873	1	101565,	105873,	P07866	Putative GDP/GTP exchange factor required for mitotic exit at low temperatures  acts as a guanine nucleotide exchange factor (GEF) for Tem1p, which is a key regulator of mitotic exit  physically associates with Ras2p-GTP	LTE1	4308	4308
YAL023C	chrI	-	106272	108552	106272	108552	1	106272,	108552,	P31382	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues  acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions  target for new antifungals	PMT2	2280	2280
YAL022C	chrI	-	108877	110431	108877	110431	1	108877,	110431,	P31381	Nucleoside transporter with broad nucleoside selectivity  localized to intracellular membranes	FUN26	1554	1554
YAL021C	chrI	-	110846	113360	110846	113360	1	110846,	113360,	P31384	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression  component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	CCR4	2514	2514
YAL020C	chrI	-	113614	114616	113614	114616	1	113614,	114616,	P31386	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA  has a potential role in regulatory interactions between microtubules and the cell cycle	ATS1	1002	1002
YAL019W-A	chrI	+	114250	114820	114250	114820	1	114250,	114820,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL019W-A	570	570
YAL019W	chrI	+	114919	118315	114919	118315	1	114919,	118315,	P31380	Protein whose overexpression affects chromosome stability, potential Cdc28p substrate  homolog of Snf2p  the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	FUN30	3396	3396
YAL018C	chrI	-	118564	119542	118564	119542	1	118564,	119542,	P31379	Putative protein of unknown function	YAL018C	978	978
YAL017W	chrI	+	120225	124296	120225	124296	1	120225,	124296,	P31374	One of two (see also PSK2) PAS domain containing S/T protein kinases  coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	PSK1	4071	4071
YAL016C-B	chrI	-	124307	124493	124307	124493	1	124307,	124493,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL016C-B	186	186
YAL016C-A	chrI	-	124755	125070	124755	125070	1	124755,	125070,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAL016C-A	315	315
YAL016W	chrI	+	124879	126787	124879	126787	1	124879,	126787,	P31383	Regulatory subunit A of the heterotrimeric protein phosphatase 2A, which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p  required for cell morphogenesis and for transcription by RNA polymerase III	TPD3	1908	1908
YAL015C	chrI	-	126903	128103	126903	128103	1	126903,	128103,	P31378	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair  distribution between nucleus and mitochondrion varies according to which compartment is under oxidative stress and is also sumoylation-dependent	NTG1	1200	1200
YAL014C	chrI	-	128252	129020	128252	129020	1	128252,	129020,	P31377	Endosomal SNARE related to mammalian syntaxin 8	SYN8	768	768
YAL013W	chrI	+	129270	130533	129270	130533	1	129270,	130533,	P31385	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	DEP1	1263	1263
YAL011W	chrI	+	132201	134079	132201	134079	1	132201,	134079,	P31376	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A  required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	YAL011W	1878	1878
YAL010C	chrI	-	134185	135667	134185	135667	1	134185,	135667,	P18409	Subunit of both the Mdm10-Mdm12-Mmm1 complex and the mitochondrial sorting and assembly machinery (SAM complex)  functions in both the general and Tom40p-specific pathways for import and assembly of outer membrane beta-barrel proteins	MDM10	1482	1482
YAL009W	chrI	+	135855	136635	135855	136635	1	135855,	136635,	P18410	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation	SPO7	780	780
YAL008W	chrI	+	136915	137512	136915	137512	1	136915,	137512,	P18411	Mitochondrial protein of unknown function	FUN14	597	597
YAL007C	chrI	-	137699	138347	137699	138347	1	137699,	138347,	P39704	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p  member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles	ERP2	648	648
YAL005C	chrI	-	139504	141433	139504	141433	1	139504,	141433,	P10591	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport  member of heat shock protein 70 (HSP70) family  forms a chaperone complex with Ydj1p  localized to the nucleus, cytoplasm, and cell wall	SSA1	1929	1929
YAL004W	chrI	+	140761	141409	140761	141409	1	140761,	141409,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  completely overlaps verified gene SSA1/YAL005C	YAL004W	648	648
YAL003W	chrI	+	142175	143162	142175	143162	2	142175,142621,	142255,143162,	P32471	Translation elongation factor 1 beta  stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle  part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site	YAL003W	987	987
YAL002W	chrI	+	143708	147533	143708	147533	1	143708,	147533,	P39702	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization  component of the CORVET complex  required for localization and trafficking of the CPY sorting receptor  contains RING finger motif	VPS8	3825	3825
YAL001C	chrI	-	147595	151168	147595	151168	2	147595,151098,	151008,151168,	P34111	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)  part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes  cooperates with Tfc6p in DNA binding	YAL001C	3573	3573
YAR002W	chrI	+	152258	153878	152258	153878	1	152258,	153878,	P39705	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP  potential Cdc28p substrate  involved in telomere maintenance	NUP60	1620	1620
YAR002C-A	chrI	-	154066	154726	154066	154726	1	154066,	154726,	Q05359	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p  member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles	ERP1	660	660
YAR003W	chrI	+	155006	156287	155006	156287	1	155006,	156287,	P39706	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres  WD40 beta propeller superfamily member with similarity to mammalian Rbbp7	SWD1	1281	1281
YAR007C	chrI	-	156755	158621	156755	158621	1	156755,	158621,	P22336	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination	RFA1	1866	1866
YAR008W	chrI	+	158966	159794	158966	159794	1	158966,	159794,	P39707	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p  Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	SEN34	828	828
YAR009C	chrI	-	160597	164188	160597	164188	1	160597,	164188,	O13527	Retrotransposon TYA Gag and TYB Pol genes  in YARCTY1-1 TYB is mutant and probably non-functional	YAR009C	3591	3591
YAR010C	chrI	-	164544	165867	164544	165867	1	164544,	165867,	O13528	Retrotransposon TYA Gag gene co-transcribed with TYB Pol  in YARCTY1-1 TYB is mutant and probably non-functional	YAR010C	1323	1323
YAR014C	chrI	-	166742	168866	166742	168866	1	166742,	168866,	P27637	Protein involved in bud-site selection, Bud14p-Glc7p complex functions as a cortical regulator of dynein  diploid mutants display a random budding pattern instead of the wild-type bipolar pattern	BUD14	2124	2124
YAR015W	chrI	+	169369	170290	169369	170290	1	169369,	170290,	P27616	N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis  red pigment accumulates in mutant cells deprived of adenine	ADE1	921	921
YAR018C	chrI	-	170390	171698	170390	171698	1	170390,	171698,	P22209	Nonessential protein kinase with unknown cellular role	KIN3	1308	1308
YAR019C	chrI	-	172208	175133	172208	175133	1	172208,	175133,	P27636	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase  promotes mitotic exit by directly switching on the kinase activity of Dbf2p  required for spindle disassembly after meiosis II	CDC15	2925	2925
YAR019W-A	chrI	+	174995	175340	174995	175340	1	174995,	175340,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR019W-A	345	345
YAR020C	chrI	-	176853	177021	176853	177021	1	176853,	177021,	P39545	Part of 23-member seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme	PAU7	168	168
YAR023C	chrI	-	179278	179818	179278	179818	1	179278,	179818,	P39546	Putative integral membrane protein, member of DUP240 gene family	YAR023C	540	540
YAR027W	chrI	+	183763	184471	183763	184471	1	183763,	184471,	P39547	Putative integral membrane protein of unknown function  interacts with Ulp1p at the nuclear periphery  member of DUP240 gene family	UIP3	708	708
YAR028W	chrI	+	184885	185590	184885	185590	1	184885,	185590,	P39548	Putative integral membrane protein, member of DUP240 gene family  GFP-fusion protein is induced in response to the DNA-damaging agent MMS	YAR028W	705	705
YAR029W	chrI	+	186314	186539	186314	186539	1	186314,	186539,	P39549	Member of DUP240 gene family but contains no transmembrane domains  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	YAR029W	225	225
YAR030C	chrI	-	186505	186847	186505	186847	1	186505,	186847,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9	YAR030C	342	342
YAR031W	chrI	+	186829	187726	186829	187726	1	186829,	187726,	P39551	Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding  member of DUP240 gene family	PRM9	897	897
YAR033W	chrI	+	188100	188805	188100	188805	1	188100,	188805,	P39552	Putative integral membrane protein, involved in vesicle formation  forms complex with Mst27p  member of DUP240 gene family  binds COPI and COPII vesicles	MST28	705	705
YAR035W	chrI	+	190186	192250	190186	192250	1	190186,	192250,	P80235	Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix  phosphorylated	YAT1	2064	2064
YAR035C-A	chrI	-	192330	192411	192330	192411	1	192330,	192411,	Q8TGV0	Putative protein of unknown function  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YAR035C-A	81	81
YAR042W	chrI	+	192612	196179	192612	196179	1	192612,	196179,	P35845	Protein similar to mammalian oxysterol-binding protein  contains ankyrin repeats  localizes to the Golgi and the nucleus-vacuole junction	SWH1	3567	3567
YAR047C	chrI	-	201459	201780	201459	201780	1	201459,	201780,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR047C	321	321
YAR050W	chrI	+	203393	208007	203393	208007	1	203393,	208007,	P32768	Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant  similar to Flo5p	FLO1	4614	4614
YAR053W	chrI	+	208357	208654	208357	208654	1	208357,	208654,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR053W	297	297
YAR060C	chrI	-	217147	217483	217147	217483	1	217147,	217483,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR060C	336	336
YAR061W	chrI	+	218130	218334	218130	218334	1	218130,	218334,	P39561	Hypothetical protein	YAR061W	204	204
YAR062W	chrI	+	218539	219136	218539	219136	1	218539,	219136,	P38896	Hypothetical protein	YAR062W	597	597
YAR064W	chrI	+	220188	220488	220188	220488	1	220188,	220488,	P39563	Putative protein of unknown function	YAR064W	300	300
YAR066W	chrI	+	221039	221651	221039	221651	1	221039,	221651,	P38897	Putative GPI protein	YAR066W	612	612
YAR068W	chrI	+	222396	222882	222396	222882	1	222396,	222882,	P39564	Fungal-specific protein of unknown function  induced in respiratory-deficient cells	YAR068W	486	486
YAR069C	chrI	-	224001	224295	224001	224295	1	224001,	224295,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR069C	294	294
YAR070C	chrI	-	224553	224853	224553	224853	1	224553,	224853,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	YAR070C	300	300
YAR071W	chrI	+	225450	226854	225450	226854	1	225450,	226854,	P35842	One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway  induced by phosphate starvation and coordinately regulated by PHO4 and PHO2	PHO11	1404	1404
YAR073W	chrI	+	227732	228944	227732	228944	1	227732,	228944,	n/a	Nonfunctional protein with homology to IMP dehydrogenase  probable pseudogene, located close to the telomere  is not expressed at detectable levels  YAR073W and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae	IMD1	1212	1212
YAR075W	chrI	+	228834	229308	228834	229308	1	228834,	229308,	n/a	Non-functional protein with homology IMP dehydrogenase  YAR073W/IMD1 and YAR075W comprise a continuous reading frame in some strains of S. cerevisiae.	YAR075W	474	474
Q0010	chrM	+	3951	4338	3951	4338	1	3951,	4338,	n/a	Dubious mitochondrial open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the dubious ORF Q0017	Q0010	387	387
Q0017	chrM	+	4253	4415	4253	4415	1	4253,	4415,	n/a	Dubious mitochondrial open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the dubious ORF Q0010	Q0017	162	162
Q0032	chrM	+	11666	11957	11666	11957	1	11666,	11957,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data	Q0032	291	291
Q0045	chrM	+	13817	26701	13817	26701	8	13817,16434,18953,20507,21994,23611,25317,26228,	13986,16470,18991,20984,22246,23746,25342,26701,	P00401	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain  one of three mitochondrially-encoded subunits	Q0045	12884	12884
Q0070	chrM	+	13817	23167	13817	23167	5	13817,16434,18953,20507,21994,	13986,16470,18991,20984,23167,	Q9ZZX1	Endonuclease I-SceIV, involved in intron mobility  encoded by a mobile group I intron within the mitochondrial COX1 gene	Q0070	9350	9350
Q0065	chrM	+	13817	21935	13817	21935	4	13817,16434,18953,20507,	13986,16470,18991,21935,	P03878	Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene  intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity	Q0065	8118	8118
